ano,vardec_retorno,vardec_trabalho,vardec_sucessao
2068,0.32805752076422273,0.104310249236978,0.5676322299987994
2069,0.3470843045177157,0.10243108130832246,0.550484614173962
2070,0.3595150884994896,0.10153005562374755,0.5389548558767628
2071,0.4134849567958259,0.12171358833776695,0.4648014548664071
2072,0.36170492600376075,0.09360336279946956,0.5446917111967696
2073,0.34668965283520464,0.09693963319368941,0.5563707139711058
2074,0.3538694345808331,0.0902164893359482,0.5559140760832187
2075,0.41288884381130797,0.10793849858365727,0.47917265760503486
2076,0.46401888960689835,0.1227334515940374,0.4132476587990643
2077,0.33867065316227607,0.07133222799789579,0.5899971188398282
2078,0.5189032769565335,0.10073583167251325,0.380360891370953
2079,0.38123996834529006,0.0786561829872566,0.5401038486674533
2080,0.49989913949370834,0.11356619200889045,0.3865346684974012
2081,0.47077309506166276,0.08774007442105766,0.44148683051727977
2082,0.5410351788659796,0.11010145634411665,0.3488633647899037
2083,0.48087842697305494,0.08854102253814097,0.430580550488804
2084,0.3936505326109759,0.0723454685652848,0.5340039988237393
2085,0.47651315131781236,0.07962043889642159,0.44386640978576597
2086,0.4435478823649369,0.06575781487038611,0.490694302764677
2087,0.4941596178676891,0.08584937917968546,0.4199910029526254
2088,0.5223700626423476,0.08529518662414436,0.39233475073350804
2089,0.44770537367982677,0.06998464532552022,0.4823099809946529
2090,0.5566206344052058,0.08699889463804794,0.35638047095674635
2091,0.5897575595473988,0.08216291697120807,0.32807952348139297
2092,0.5639368745980586,0.08317656807501658,0.35288655732692475
2093,0.4608815302711121,0.057422394608721096,0.48169607512016643
2094,0.5156464922981833,0.07071161852901846,0.4136418891727985
2095,0.5445023233769848,0.060172813956801824,0.3953248626662136
2096,0.5543131909340322,0.0640282016355473,0.38165860743042057
2097,0.6485103352115292,0.077527950394245,0.27396171439422595
2098,0.5323050431340082,0.06046652812940226,0.4072284287365896
2099,0.49134987284497866,0.056938684258313055,0.45171144289670817
2100,0.5589774910377859,0.06190314035093774,0.3791193686112761
2101,0.5953676311158608,0.06969678601702997,0.3349355828671093
2102,0.4800387391534374,0.05137828507354071,0.46858297577302194
2103,0.4877593044665348,0.044586905002837844,0.46765379053062756
2104,0.5326229144829804,0.0566178707955414,0.4107592147214782
2105,0.6430114584084081,0.06132119684486925,0.29566734474672246
2106,0.6118005129385062,0.061210946177355945,0.32698854088413787
2107,0.5517551325883756,0.04830664994148827,0.3999382174701361
2108,0.5858402022027568,0.04820442272395117,0.36595537507329196
2109,0.6063823192270587,0.044403067686637196,0.3492146130863042
2110,0.6573913691699281,0.0536512431472431,0.2889573876828287
2111,0.5169840366738454,0.036850361947131795,0.44616560137902295
2112,0.6061031091315222,0.042837765581053386,0.35105912528742445
2113,0.5824573310196598,0.04195411376945633,0.37558855521088386
2114,0.7048025500728589,0.0450661424737779,0.25013130745336326
2115,0.567124632922513,0.03206846647215264,0.400806900605334
2116,0.5199084718815747,0.025952467703525287,0.45413906041489993
2117,0.6382081429392751,0.03516216646075111,0.32662969059997393
2118,0.727673016341795,0.03823531227227669,0.23409167138592832
2119,0.6871920164273345,0.0308725679472295,0.2819354156254359
2120,0.7134474918266362,0.03907244502363747,0.24748006314972607
2121,0.7062246252770201,0.03547271838693997,0.25830265633603977
2122,0.7065356347924215,0.031118052781823467,0.2623463124257548
2123,0.6646534046947461,0.0263591792442702,0.30898741606098384
2124,0.6684772576653191,0.028550597226323974,0.30297214510835696
2125,0.757906744923575,0.03389610391956944,0.20819715115685553
2126,0.731097003799983,0.02840176139125844,0.24050123480875843
